,Rating,Boxer,Country,Weight,Ceiling,Action,Promoter,Trainer,Sex
0,1,"Alvarez, Canelo",MX,168,5.0,4.13,,"Reynoso, Eddy",Male
1,2,"Shields, Claressa",US,154,5.0,4.0,Salita,"Jackson, John David",Female
2,3,"McCaskill, Jessica",US,147,5.0,4.0,Matchroom,"Ramos, Rick",Female
3,4,"Estrada, Seniesa",US,105,5.0,4.0,Golden Boy,"Campos, Dean",Female
4,5,"Serrano, Amanda",PR,126,5.0,5.0,Most Valuable Promotions,"Maldonado, Jordan",Female
5,6,"Marshall, Savannah",GB,160,5.0,5.0,Boxxer,"Fury, Peter",Female
6,7,"Taylor, Katie",IE,135,5.0,4.0,Matchroom,"Enamait, Ross",Female
7,8,"Mayer, Mikaela",US,130,5.0,4.0,Top Rank,"Mitchell, Al",Female
8,9,"Inoue, Naoya",JP,118,4.99,5.0,Top Rank,"Inoue, Shingo",Male
9,10,"Fury, Tyson",GB,HWT,4.98,4.0,Top Rank,"Steward, SugarHill",Male
10,11,"Lomachenko, Vasyl",UA,135,4.95,4.58,Top Rank,"Lomachenko, Anatoly",Male
11,12,"Crawford, Terence ",US,147,4.85,3.75,,"McIntyre, Brian",Male
12,13,"Usyk, Oleksandr",UA,HWT,4.83,4.25,Matchroom,"Katchenko, Yuri",Male
13,14,"Spence Jr, Errol",US,147,4.75,4.3,PBC,"James, Derrick",Male
14,15,"Taylor, Josh",GB,140,4.66,3.69,Top Rank,"Davison, Ben",Male
15,16,"Shigeoka, Ginjiro",JP,105,4.54,4.88,Watanabe,"Machida, Chikara",Male
16,17,"Estrada, Juan Francisco",MX,115,4.53,4.58,Matchroom,"Caballero, Alfredo",Male
17,18,"Beterbiev, Artur",RU,175,4.49,4.05,Top Rank,"Ramsay, Marc",Male
18,19,"Ortiz Jr, Vergil",US,147,4.36,4.57,Golden Boy,"Robles, Manny",Male
19,20,"Lopez, Teofimo ",US,135,4.35,4.0,Top Rank,"Lopez, Teofimo",Male
20,21,"Ennis, Jaron",US,147,4.34,4.5,D&amp;D,"Ennis, Bozy",Male
21,22,"Ramirez, Jose",US,140,4.33,3.75,Top Rank,"Garcia, Robert",Male
22,23,"Haney, Devin",US,135,4.31,2.75,Matchroom,"Haney, Bill",Male
23,24,"Gonzalez, Roman",NI,115,4.29,5.0,Teiken,"Caballero, Marcos",Male
24,25,"Bivol, Dmitry",RU,175,4.26,3.5,Matchroom,"Mashianov, Gennady",Male
